ASCII,width,xOffset,xAdvance
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,5,1,6
33,1,2,2
34,3,2,4
35,6,1,7
36,5,1,6
37,5,1,6
38,5,1,6
39,1,2,2
40,3,2,4
41,3,2,4
42,3,2,4
43,5,1,6
44,1,2,2
45,5,1,6
46,1,2,2
47,5,1,6
48,5,1,6
49,5,1,6
50,5,1,6
51,5,1,6
52,5,1,6
53,5,1,6
54,5,1,6
55,5,1,6
56,5,1,6
57,5,1,6
58,1,2,2
59,2,1,3
60,4,1,5
61,5,1,6
62,4,1,5
63,5,1,6
64,6,1,7
65,5,1,6
66,5,1,6
67,5,1,6
68,5,1,6
69,5,1,6
70,5,1,6
71,5,1,6
72,5,1,6
73,5,1,6
74,5,1,6
75,5,1,6
76,5,1,6
77,5,1,6
78,5,1,6
79,5,1,6
80,5,1,6
81,6,1,7
82,5,1,6
83,5,1,6
84,5,1,6
85,5,1,6
86,5,1,6
87,5,1,6
88,5,1,6
89,5,1,6
90,5,1,6
91,3,2,4
92,5,1,6
93,3,2,4
94,3,2,4
95,5,1,6
96,2,3,3
97,6,1,7
98,5,1,6
99,4,1,5
100,5,1,6
101,5,1,6
102,4,1,5
103,5,1,6
104,5,1,6
105,1,2,2
106,5,1,6
107,4,1,5
108,2,1,3
109,5,1,6
110,5,1,6
111,5,1,6
112,5,1,6
113,7,1,8
114,5,1,6
115,5,1,6
116,4,1,5
117,5,1,6
118,5,1,6
119,5,1,6
120,5,1,6
121,5,1,6
122,5,1,6
123,3,1,4
124,1,3,2
125,3,1,4
126,5,1,6
127,0,0,0
