ASCII,width,xOffset,xAdvance
0,8,0,9
1,8,0,9
2,8,0,9
3,8,0,9
4,8,0,9
5,8,0,9
6,8,0,9
7,8,0,9
8,8,0,9
9,8,0,9
10,8,0,9
11,8,0,9
12,8,0,9
13,8,0,9
14,8,0,9
15,8,0,9
16,8,0,9
17,8,0,9
18,8,0,9
19,8,0,9
20,8,0,9
21,8,0,9
22,8,0,9
23,8,0,9
24,8,0,9
25,8,0,9
26,8,0,9
27,8,0,9
28,8,0,9
29,8,0,9
30,8,0,9
31,8,0,9
32,8,0,9
33,8,0,9
34,8,0,9
35,8,0,9
36,8,0,9
37,8,0,9
38,8,0,9
39,8,0,9
40,8,0,9
41,8,0,9
42,8,0,9
43,8,0,9
44,8,0,9
45,8,0,9
46,8,0,9
47,8,0,9
48,8,0,9
49,8,0,9
50,8,0,9
51,8,0,9
52,8,0,9
53,8,0,9
54,8,0,9
55,8,0,9
56,8,0,9
57,8,0,9
58,8,0,9
59,8,0,9
60,8,0,9
61,8,0,9
62,8,0,9
63,8,0,9
64,8,0,9
65,8,0,9
66,8,0,9
67,8,0,9
68,8,0,9
69,8,0,9
70,8,0,9
71,8,0,9
72,8,0,9
73,8,0,9
74,8,0,9
75,8,0,9
76,8,0,9
77,8,0,9
78,8,0,9
79,8,0,9
80,8,0,9
81,8,0,9
82,8,0,9
83,8,0,9
84,8,0,9
85,8,0,9
86,8,0,9
87,8,0,9
88,8,0,9
89,8,0,9
90,8,0,9
91,8,0,9
92,8,0,9
93,8,0,9
94,8,0,9
95,8,0,9
96,8,0,9
97,8,0,9
98,8,0,9
99,8,0,9
100,8,0,9
101,8,0,9
102,8,0,9
103,8,0,9
104,8,0,9
105,8,0,9
106,8,0,9
107,8,0,9
108,8,0,9
109,8,0,9
110,8,0,9
111,8,0,9
112,8,0,9
113,8,0,9
114,8,0,9
115,8,0,9
116,8,0,9
117,8,0,9
118,8,0,9
119,8,0,9
120,8,0,9
121,8,0,9
122,8,0,9
123,8,0,9
124,8,0,9
125,8,0,9
126,8,0,9
127,8,0,9
